"user_id","tau","k_A","k_S","Delta_TE","TE_AtoS","TE_StoA","p_AtoS","q_AtoS","p_StoA","q_StoA"
"86A4F379-B305-473D-9D83-FC7D800180EF","1","1","1","-0.0041452794145036","0.0023976972976368","0.0065429767121404","0.315","0.39375","0.0726","0.1452"
"7CE37510-56D0-4120-A1CF-0E23351428D2","1","1","1","-0.0046787801183472","0.0204848237470777","0.0251636038654249","0.0","0.0","0.0","0.0"
"CCAF77F0-FABB-4F2F-9E24-D56AD0C5A82F","1","1","1","-0.0109347260027621","0.0076480486451616","0.0185827746479237","0.0","0.0","0.0","0.0"
"A76A5AF5-5A93-4CF2-A16E-62353BB70E8A","1","1","1","-0.0110657073858051","0.0146057423419531","0.0256714497277583","0.0","0.0","0.0","0.0"
"9759096F-1119-4E19-A0AD-6F16989C7E1C","1","1","1","-0.0112748278709692","0.0085501426475594","0.0198249705185287","0.0","0.0","0.0","0.0"
"78A91A4E-4A51-4065-BDA7-94755F0BB3BB","1","1","1","-0.0113533430567608","0.0069891171432127","0.0183424601999735","0.0","0.0","0.0","0.0"
"96A358A0-FFF2-4239-B93E-C7425B901B47","1","5","5","-0.012386885455444","0.0146206322129829","0.027007517668427","0.01","0.02","0.906","1.0"
"806289BC-AD52-4CC1-806C-0CDB14D65EB6","1","1","1","-0.0140068113954275","0.0105014592465925","0.02450827064202","0.0","0.0","0.0","0.0"
"8023FE1A-D3B0-4E2C-A57A-9321B7FC755F","1","1","1","-0.0160862855407043","0.0076009643870877","0.0236872499277921","0.0","0.0","0.0","0.0"
"7D9BB102-A612-4E2A-8E22-3159752F55D8","1","6","6","-0.0165059345441414","0.0306863759495479","0.0471923104936893","0.416","0.416","0.996","1.0"
"B7F9D634-263E-4A97-87F9-6FFB4DDCB36C","1","1","1","-0.0172632185868824","0.0141037030296182","0.0313669216165007","0.0","0.0","0.0","0.0"
"00EABED2-271D-49D8-B599-1D4A09240601","1","6","6","-0.0173100445951129","0.015604251683705","0.032914296278818","0.789","0.789","0.997","1.0"
"5EF64122-B513-46AE-BCF1-E62AAC285D2C","1","6","6","-0.0184608179971549","0.0158765857465991","0.0343374037437541","0.1592","0.2653333333333333","0.995","1.0"
"27E04243-B138-4F40-A164-F40B60165CF3","1","6","6","-0.0196496666294498","0.0155588939386564","0.0352085605681063","0.1409","0.2653333333333333","0.819","1.0"
"4E98F91F-4654-42EF-B908-A3389443F2E7","1","6","6","-0.020051938474348","0.0153218189749736","0.0353737574493217","0.295","0.4214285714285714","1.0","1.0"
"E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3","1","6","6","-0.0200528534058544","0.0195658816267137","0.0396187350325681","0.272","0.34","0.956","1.0"
"9DC38D04-E82E-4F29-AB52-B476535226F2","1","1","1","-0.0206663818827597","0.0110187591539283","0.0316851410366881","0.0","0.0","0.0","0.0"
"11B5EC4D-4133-4289-B475-4E737182A406","1","1","1","-0.0221193396308669","0.0104676972844165","0.0325870369152834","0.0","0.0","0.0","0.0"
"74B86067-5D4B-43CF-82CF-341B76BEA0F4","1","6","6","-0.0228127582750389","0.0201863388626778","0.0429990971377167","0.0","0.0","1.0","1.0"
"99B204C0-DD5C-4BB7-83E8-A37281B8D769","1","6","6","-0.0241323000329498","0.0169296249876307","0.0410619250205806","0.277","0.3957142857142858","1.0","1.0"
"665514DE-49DC-421F-8DCB-145D0B2609AD","1","1","1","-0.0259631288454046","0.0051697780854519","0.0311329069308566","0.036","0.0514285714285714","0.0","0.0"
"0A986513-7828-4D53-AA1F-E02D6DF9561B","1","6","6","-0.0270088231069346","0.0174387845525707","0.0444476076595054","0.001","0.0025","1.0","1.0"
"BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC","1","1","1","-0.0281534725659703","0.0097059345230284","0.0378594070889987","0.0","0.0","0.0","0.0"
"F50235E0-DD67-4F2A-B00B-1F31ADA998B9","1","6","6","-0.0305273975055015","0.033639512656431","0.0641669101619326","0.284","0.3195","1.0","1.0"
"83CF687B-7CEC-434B-9FE8-00C3D5799BE6","1","1","1","-0.0309525622949935","0.0110288671067629","0.0419814294017565","0.0","0.0","0.0","0.0"
"4FC32141-E888-4BFF-8804-12559A491D8C","1","6","6","-0.0309525659386711","0.0177322679357135","0.0486848338743846","0.497","0.5522222222222222","0.0576","0.144"
"59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2","1","6","6","-0.0312643562751799","0.0119372911169471","0.043201647392127","0.003","0.0045","1.0","1.0"
"CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC","1","6","6","-0.0312910261921841","0.0208396403211742","0.0521306665133584","0.002","0.004","0.95","1.0"
"BEF6C611-50DA-4971-A040-87FB979F3FC1","1","6","6","-0.0320356816527186","0.024472028254102","0.0565077099068207","0.003","0.01","1.0","1.0"
"ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2","1","6","6","-0.03395658481055","0.016405954295457","0.0503625391060071","0.0153","0.0306","0.499","0.998"
"481F4DD2-7689-43B9-A2AA-C8772227162B","1","6","6","-0.0344491756338686","0.0161866156418714","0.05063579127574","0.0","0.0","1.0","1.0"
"C48CE857-A0DD-4DDB-BEA5-3A25449B2153","1","6","6","-0.0354718654561212","0.0142973619039134","0.0497692273600346","0.0167","0.0278333333333333","1.0","1.0"
"5119D0F8-FCA8-4184-A4EB-19421A40DE0D","1","6","6","-0.0363300882208767","0.0171215153036968","0.0534516035245735","0.206","0.2288888888888888","1.0","1.0"
"B9724848-C7E2-45F4-9B3F-A1F38D864495","1","6","6","-0.0383467583083755","0.0111813370673536","0.0495280953757291","0.0238","0.0793333333333333","0.795","1.0"
"40E170A7-607B-4578-AF04-F021C3B0384A","1","6","6","-0.0398436096794524","0.0196606796335536","0.0595042893130061","0.0","0.0","0.371","0.998"
"136562B6-95B2-483D-88DC-065F28409FD2","1","6","6","-0.0420262189762105","0.0196231184299935","0.061649337406204","0.0","0.0","1.0","1.0"
"797D145F-3858-4A7F-A7C2-A4EB721E133C","1","6","6","-0.0429702847972162","0.0202758235444887","0.063246108341705","1.0","1.0","1.0","1.0"
"61976C24-1C50-4355-9C49-AAE44A7D09F6","1","6","6","-0.0432394684465597","0.0101819740185008","0.0534214424650606","0.019","0.0316666666666666","0.856","1.0"
"0BFC35E2-4817-4865-BFA7-764742302A2D","1","6","6","-0.0435936635634767","0.0399311752162246","0.0835248387797014","0.0","0.0","0.416","0.998"
"61359772-D8D8-480D-B623-7C636EAD0C81","1","6","6","-0.0448997600204721","0.0120335774776412","0.0569333374981133","0.0223","0.0318571428571428","1.0","1.0"
"59818CD2-24D7-4D32-B133-24C2FE3801E5","1","6","6","-0.0450872409343169","0.0180966507739752","0.0631838917082921","0.1882","0.3136666666666667","0.998","1.0"
"098A72A5-E3E5-4F54-A152-BBDA0DF7B694","1","6","6","-0.0456992001228555","0.0100606678307868","0.0557598679536424","0.0","0.0","0.708","1.0"
"33A85C34-CFE4-4732-9E73-0A7AC861B27A","1","6","6","-0.0465348396762545","0.0171791984379557","0.0637140381142103","0.1855","0.2288888888888888","1.0","1.0"
"81536B0A-8DBF-4D8A-AC24-9543E2E4C8E0","1","6","6","-0.0476487787772586","0.0077526586162944","0.0554014373935531","0.818","0.818","1.0","1.0"
"CA820D43-E5E2-42EF-9798-BE56F776370B","1","6","6","-0.047829431875184","0.0112344288957325","0.0590638607709165","0.368","0.4599999999999999","1.0","1.0"
"FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF","1","6","6","-0.0492470418308899","0.0172026742039634","0.0664497160348534","0.004","0.02","0.846","1.0"
"1538C99F-BA1E-4EFB-A949-6C7C47701B20","1","6","6","-0.0494846020841981","0.0114902760351796","0.0609748781193777","0.002","0.004","1.0","1.0"
"24E40C4C-A349-4F9F-93AB-01D00FB994AF","1","6","6","-0.0505279916969325","0.0210952702900788","0.0716232619870113","0.0236","0.0303428571428571","1.0","1.0"
"0E6184E1-90C0-48EE-B25A-F1ECB7B9714E","1","6","6","-0.0515784487407549","0.0157888079766204","0.0673672567173754","0.1438","0.1438","0.977","0.977"
"A7599A50-24AE-46A6-8EA6-2576F1011D81","1","6","6","-0.0547655939941801","0.015651922502551","0.0704175164967312","0.008","0.02","1.0","1.0"
"D7D20E2E-FC78-405D-B346-DBD3FD8FC92B","1","6","6","-0.054785964259613","0.0134365575350117","0.0682225217946247","0.1661","0.2288888888888888","0.0335","0.335"
"B09E373F-8A54-44C8-895B-0039390B859F","1","6","6","-0.0573031775956377","0.0061009533996353","0.0634041309952731","0.668","0.668","0.001","0.005"
