A_bins,H_bin_hours,S_mode,N,mean_Delta_CTE_true,median_Delta_CTE_true,ci95_lower,ci95_upper,t_stat,p_value
3,2,binary,10,-0.0268148705046168,-0.025744200252746,-0.0335589687802145,-0.0204614563648374,-7.517504872796044,3.625596772707002e-05
3,2,quantile3,10,-0.0047797154991532,0.0,-0.009663420325712,-0.0009780305872093,-1.859141779765624,0.0959444529345984
3,4,binary,10,-0.025122627469118,-0.0240611453700932,-0.0334693468241701,-0.0177389656940531,-5.843860145026378,0.0002456317774531
3,4,quantile3,10,-0.0041793890895091,0.0,-0.0084657003993363,-0.0007690567366402,-1.843882704024559,0.0983028999723723
5,2,binary,10,-0.0440283195819124,-0.0421541567844565,-0.0589025328601695,-0.0306287084718162,-6.132741426073655,0.0001722752144561
5,2,quantile3,10,-0.0080300579667218,0.0,-0.0172685159944635,-0.0012479492580284,-1.7231648283530878,0.118953819983016
5,4,binary,10,-0.0516962187906187,-0.0446768241128674,-0.0670884557129267,-0.0385715823218024,-7.04896058331076,5.992789382914443e-05
5,4,quantile3,10,-0.0097902524266554,0.0,-0.0195805048533108,-0.0026441015117988,-1.909005150014989,0.0886025541263706
7,2,binary,10,-0.0464261704353693,-0.0422392118270826,-0.0589067009530928,-0.0334368544732485,-7.095594631775445,5.694259444313461e-05
7,2,quantile3,10,-0.0087969841408614,0.0,-0.018998299725689,-0.0013594251317314,-1.657647992712599,0.1317661841495508
7,4,binary,10,-0.0612564122285051,-0.0611659392005393,-0.0766127671230636,-0.0463456157714125,-7.643784719075735,3.1790664889976185e-05
7,4,quantile3,10,-0.0109757018625683,0.0,-0.0223331093765454,-0.0026331122952996,-1.8490170559985075,0.0975033420339238
